,rec_source,data_provider,country_name,country_iso_code,validity_date,attribute,value,value_units
99,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Denmark,DNK,1992,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",76040.81974972984,kt CO2e
100,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Estonia,EST,1992,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",27136.655568874623,kt CO2e
103,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Finland,FIN,1992,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",67511.7972127365,kt CO2e
104,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,France,FRA,1992,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",562058.2533584526,kt CO2e
105,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Germany,DEU,1992,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",1146454.3415997694,kt CO2e
106,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Greece,GRC,1992,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",104711.34936499847,kt CO2e
107,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Hungary,HUN,1992,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",78157.64848445909,kt CO2e
108,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Iceland,ISL,1992,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",3369.3998783882507,kt CO2e
109,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Ireland,IRL,1992,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",55678.381612670855,kt CO2e
110,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Italy,ITA,1992,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",520199.41961990343,kt CO2e
111,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Japan,JPN,1992,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",1296213.0074775415,kt CO2e
112,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Kazakhstan,KAZ,1992,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",343622.4410790171,kt CO2e
113,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Latvia,LVA,1992,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",19199.879961518243,kt CO2e
114,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Liechtenstein,LIE,1992,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",236.24250095956833,kt CO2e
115,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Lithuania,LTU,1992,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",30664.541322347693,kt CO2e
116,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Luxembourg,LUX,1992,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",13143.840529418732,kt CO2e
117,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Malta,MLT,1992,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",2517.179108350123,kt CO2e
118,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Monaco,MCO,1992,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",109.23935967127788,kt CO2e
119,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Netherlands,NLD,1992,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",227938.94377776218,kt CO2e
120,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,New Zealand,NZL,1992,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",67332.21363465225,kt CO2e
121,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Norway,NOR,1992,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",47367.61138490669,kt CO2e
122,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Poland,POL,1992,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",451029.35126212594,kt CO2e
123,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Portugal,PRT,1992,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",64147.52632681609,kt CO2e
124,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Romania,ROU,1992,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",190518.23256446535,kt CO2e
125,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Russian Federation,RUS,1992,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",2521408.581408788,kt CO2e
126,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Slovakia,SVK,1992,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",58210.71294647765,kt CO2e
127,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Slovenia,SVN,1992,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",17236.294596820884,kt CO2e
128,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Spain,ESP,1992,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",307440.41471221554,kt CO2e
129,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Sweden,SWE,1992,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",71213.25814944874,kt CO2e
130,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Switzerland,CHE,1992,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",55241.684759550466,kt CO2e
131,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Türkiye,TUR,1992,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",233312.95008722646,kt CO2e
132,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Ukraine,UKR,1992,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",801043.2578897472,kt CO2e
133,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,United Kingdom of Great Britain and Northern Ireland,GBR,1992,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",785188.9860939084,kt CO2e
134,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,United States of America,USA,1992,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",6497290.0791826695,kt CO2e
135,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Australia,AUS,1993,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",430381.73065699666,kt CO2e
