,rec_source,data_provider,country_name,country_iso_code,validity_date,attribute,value,unit
61,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,Denmark,DNK,1991,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",87157.1396184276,kt CO₂ e
62,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,Estonia,EST,1991,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",34288.70012610127,kt CO₂ e
63,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,European Union (Convention),not found,1991,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",5277634.943036198,kt CO₂ e
64,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,European Union (KP),not found,1991,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",5293092.597377853,kt CO₂ e
65,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,Finland,FIN,1991,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",42560.90019191815,kt CO₂ e
66,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,France,FRA,1991,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",551562.2163925974,kt CO₂ e
67,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,Germany,DEU,1991,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",1175203.0495639315,kt CO₂ e
68,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,Greece,GRC,1991,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",101039.14843426264,kt CO₂ e
69,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,Hungary,HUN,1991,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",85803.38210920106,kt CO₂ e
70,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,Iceland,ISL,1991,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",12664.532212762724,kt CO₂ e
71,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,Ireland,IRL,1991,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",60185.14855350387,kt CO₂ e
72,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,Italy,ITA,1991,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",500968.90738967026,kt CO₂ e
73,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,Japan,JPN,1991,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",1210005.7718685265,kt CO₂ e
74,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,Kazakhstan,KAZ,1991,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",368230.4402482964,kt CO₂ e
75,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,Latvia,LVA,1991,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",11254.327968402418,kt CO₂ e
76,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,Liechtenstein,LIE,1991,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",227.38918050652356,kt CO₂ e
77,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,Lithuania,LTU,1991,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",44153.53507726988,kt CO₂ e
78,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,Luxembourg,LUX,1991,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",13160.575886044626,kt CO₂ e
79,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,Malta,MLT,1991,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",2457.4358234185665,kt CO₂ e
80,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,Monaco,MCO,1991,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",103.5888603238614,kt CO₂ e
81,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,Netherlands,NLD,1991,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",233401.22225176546,kt CO₂ e
